,feature,coefficient
2,numofproducts_4,3.2626340817494937
1,numofproducts_3,2.5274726269656114
8,age_group_45-60,1.935267502128034
17,saving_group_above 200k,1.5378313065410414
9,age_group_above 60,1.0652067266073093
11,geography_germany,0.8471856263434621
10,gender_scale,0.5513315380666325
16,saving_group_below 50k,0.5052396487190859
7,age_group_33-44,0.3459695472608489
12,geography_spain,0.04178781685306868
15,saving_group_100k - 150k,0.012561713076222275
4,creditscore_group_above 700,-0.057922459831930125
14,saving_group_150k - 200k,-0.05869749496719439
5,age_group_21-23,-0.12352414198466515
3,creditscore_group_650-700,-0.17009894920575358
13,saving_group_50k-100k,-0.17300428883269034
6,age_group_24-32,-0.5315565802571479
18,hascrcard,-0.8759407402401732
0,numofproducts_2,-1.4759116408912867
